note_id,last modification time,tags,Front,Front_alt,Back,Part of Speech,Sound,Sound Example Sentence,Image,Note,Sanskrit,Question,Spelling Hint
1683648643076,1702725425,LRZTP LRZTP_15 LRZTP_Colloquial_Lesson_15 LRZTP_Module_2,དགེ་རྒན་,,teacher,n,[sound:dge rgan.mp3][sound:190947100_180702_0634_04.mp3],[sound:dge rgan ex.mp3],"""<img alt=""""New Teachers: How to Develop 'The Look' | Edutopia"""" src=""""paste-67e183995da56ae0b288509d68ec057c7243c51b.jpg"""">""",,,,
1683648671395,1702725254,LRZTP LRZTP_02 LRZTP_Colloquial_Lesson_2 LRZTP_Module_1,རྒན་ལགས་,,teacher (H),n,[sound:180878404_180323_0656_29.mp3],,"""<img alt=""""Are the PISA Data for Shanghai Flawed? | HuffPost"""" src=""""paste-34d265000a7cecd1eb25d0a4b89c393849390ba2.jpg"""">""",ཁོང་ང་ཚོའི་རྒན་ལགས་རེད།,,,
1683648697492,1702725254,LRZTP LRZTP_02 LRZTP_Colloquial_Lesson_2 LRZTP_Module_1,འཛིན་གྲྭ་,,class,n,[sound:180878395_180323_0655_08.mp3],,,ང་འཛིན་གྲྭ་ལ་ཡོད།,,,
1683648757327,1702725254,LRZTP LRZTP_02 LRZTP_Colloquial_Lesson_2 LRZTP_Module_1,སློབ་ཁང་,,classroom,n,,,"""<img alt=""""How to Decorate your Classroom with 20 Best Ideas. - Read Banking"""" src=""""paste-135afc289591e4b7e0a5c872ed98121b94dad167.jpg"""">""",ང་ཚོ་སློབ་ཁང་ནང་ལ་ཡོད།,,,
1683648786688,1702725254,LRZTP LRZTP_02 LRZTP_Colloquial_Lesson_2 LRZTP_Module_1,ཕྱག་དེབ་,,book (H),n,[sound:180878406_180323_0656_42.mp3],,"""<img alt=""""The Important Book Margaret Wise Brown First Edition"""" src=""""paste-6e2a5cee2e9a9e461d3cef78a63115a887d14de8.jpg"""">""",རྒན་ལགས་ལ་ཕྱག་དེབ་མི་འདུག,,,
1683648857962,1702725254,LRZTP LRZTP_02 LRZTP_Colloquial_Lesson_2 LRZTP_Module_1,དཔེ་ཆ་,,religious book,n,[sound:180878407_180323_0656_48.mp3],,,,,,
1683648879447,1702725254,LRZTP LRZTP_02 LRZTP_Colloquial_Lesson_2 LRZTP_Module_1,སྦྱོང་དེབ་,,exercise book,n,[sound:180878408_180323_0657_01.mp3],,"""<img alt=""""Student Workbook Signing Naturally Units 1 6 Pdf Answers | Resume Examples"""" src=""""paste-0f16c6e344f1826f1a17a0a14987cfeb401a3416.jpg"""">""",,,,
1683648978568,1702724695,LRZTP,ཞ་སྨྱུག་,,pencil,n,,,"""<img alt=""""What a pencil can teach a coach"""" src=""""paste-e799990db7c8132e2993f0086a0527a9df3ac366.jpg"""">""","ཞ་ཉེ་ lead, graphite",,,
1683649085114,1702725254,LRZTP LRZTP_02 LRZTP_Colloquial_Lesson_2 LRZTP_Module_1,ནག་པང་,,blackboard,n,[sound:180878419_180323_0711_42.mp3],,"""<img src=""""paste-0b93a7a7fc88f4737a1f897209ef9a1842fb7b22.jpg"""">""","ནག་, ནག་པོ་ black",,,
1683649099108,1702725254,LRZTP LRZTP_02 LRZTP_Colloquial_Lesson_2 LRZTP_Module_1,དཀར་པང་,,whiteboard,n,[sound:180878420_180323_0711_52.mp3],,"""<img alt=""""The 10 Best Magnetic Whiteboards - Work From Home Adviser"""" src=""""paste"""">""",,,,
