front,back,part_of_speech
ལབ་པ་,"to say, to mention, to express (ཐ་དད་པ་)",v
ཆུང་ཆུང་,small,adj
ཕེབས་པ་,"to go, to come (H) (ཐ་མི་དད་པ་)",v
འགྲོ་བ་,to go (ཐ་མི་དད་པ་),v
ཆེན་པོ་,"big, great",adj
ཟེར་བ་,to be called (ཐ་དད་པ་),v
གསུང་བ་,"to say, to speak, to talk (H) (ཐ་དད་པ་)",v
ཆོས་ཚོགས་,"Dharma center, Dharma institute",n
རྒྱ་ནག་,China,n
མཉམ་དུ་,"together, together with",adv
ཕྲུ་གུ་,"children, kids",n
གྲོགས་མོ་,female friend,n
ཨ་རི་,United States of America,n
ཕ་ཡུལ་,fatherland,n
ཡོང་བ་,to come (ཐ་མི་དད་པ་),v
ལོ་,year,n
ནང་པ་,Buddhist,n
ནས་,from,prep
ག་ནས་,from where,int
ཡིན་ན་ཡང་,"but, however",prep
དེང་སང་,"these days, nowadays",adv
དབྱིན་ཡུལ་,England,n
ཡི་ཤུའི་ཆོས་,Christianity,n
ཁ་ཆེའི་ཆོས་,Islam,n
སྤུན་ཀྱག་,"relative, kinsman, family member",n
སྐྱེས་པ་,"to be born, to arise (ཐ་མི་དད་པ་)",v
ཨ་མདོ་,Amdo,n
རིག་པ་ཡག་པོ་,"clever, intelligent",adj
བཞུགས་པ་,"to stay, to live, to sit (down) (H) (ཐ་མི་དད་པ་)",v
འཁྲུང་བ་,to be born (H) (ཐ་མི་དད་པ་),v
འཛམ་གླིང་,"world, planet earth",n
ནང་མི་,family,n
དབུས་གཙང་,Ü-Tsang (Central province),n
ཡུ་རོབ་,Europe,n
བོད་སྐད་སྐྱོན་པ་,to talk in Tibetan (H) (ཐ་དད་པ།),v
ཨ་ནི་,"nun, aunt",n
སྐྱོ་པོ་,poor,adj
སླེབས་པ་,"to arrive, to reach, to get somewhere (ཐ་མི་དད་པ་)",v
གྲྭ་པ་,monk,n
དོ་སྣང་,"interest, affinity",n
ཞུ་བ་,"to be called (h) (ཐ་དད་པ་)to take, drink, serveto say",v
ཁམས་,Kham,n
ཉམ་ཆུང་,"humble, modest",adj
ཧིན་དུའི་ཆོས་,Hinduism,n
ཕྱི་རྒྱལ་,"abroad, foreign country",n
སྐྱེ་ས་,place of birth,n
ལུང་པ་,"country, land, area, valley",n
ལྷོ་ཨ་མེ་རི་ཀ་,South America,n
མཚན་,name (H),n
རྒྱལ་ཁབ་,"state, nation",n
ཕྱུག་པོ་,"rich, wealthy",adj
ཕ་མ་,"parents, father and mother",n
